way_point_1	way_point_2	distance_meters	duration_minutes
University of Tehran, Tehran, Tehran Province	Sharif University of Technology, Tehran	7755	14.466666666666667
University of Tehran, Tehran, Tehran Province	Shahid Beheshti University, Daneshjou Boulevard, Tehran, Tehran Province	11975	19.0
University of Tehran, Tehran, Tehran Province	Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	5798	17.283333333333335
University of Tehran, Tehran, Tehran Province	Iran University of Science and Technology	13825	21.966666666666665
University of Tehran, Tehran, Tehran Province	K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	7839	14.066666666666666
University of Tehran, Tehran, Tehran Province	Allameh Tabataba’i University, Tehran, Tehran Province	15704	19.833333333333332
University of Tehran, Tehran, Tehran Province	imam hossein university	29268	33.166666666666664
University of Tehran, Tehran, Tehran Province	Imam Sadiq University, Tehran, Tehran Province	8055	14.933333333333334
University of Tehran, Tehran, Tehran Province	Iran University of Medical Sciences	5362	8.583333333333334
University of Tehran, Tehran, Tehran Province	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	17233	21.4
University of Tehran, Tehran, Tehran Province	Tarbiat Modares University, Tehran, Tehran Province	682	2.6666666666666665
University of Tehran, Tehran, Tehran Province	Shahed University, Tehran, Tehran Province	4702	15.783333333333333
University of Tehran, Tehran, Tehran Province	Kharazmi University, Tehran, Tehran Province	7173	21.266666666666666
University of Tehran, Tehran, Tehran Province	Alzahra University	7546	12.616666666666667
University of Tehran, Tehran, Tehran Province	Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	5518	21.333333333333332
University of Tehran, Tehran, Tehran Province	Institute for management and planning studies, Shafei, Tehran, Tehran Province	19905	34.21666666666667
University of Tehran, Tehran, Tehran Province	Institute for Studies in Theoretical Physics and Mathematics	19070	31.783333333333335
University of Tehran, Tehran, Tehran Province	Iran Polymer and Petrochemical Institute	24220	23.283333333333335
University of Tehran, Tehran, Tehran Province	Police University Amin	18286	21.45
University of Tehran, Tehran, Tehran Province	shahid rajaee teacher training university	17591	22.033333333333335
Shahid Beheshti University, Daneshjou Boulevard, Tehran, Tehran Province	Sharif University of Technology, Tehran	17086	26.016666666666666
